date,store_id,region,promotion_spent,sales
2018-04-10,1,West,9691,159
2018-04-11,3,East,9702,129
2018-04-12,2,West,8494,134
2018-04-13,2,North,5312,184
2018-04-14,4,North,2324,136
2018-04-15,2,West,4141,104
2018-04-16,2,North,8419,182
2018-04-17,2,West,4486,177
2018-04-18,4,East,2810,125
2018-04-19,2,West,7588,161
2018-04-20,3,East,3923,103
2018-04-21,4,West,6301,188
2018-04-22,3,North,5186,141
2018-04-23,4,West,9905,188
2018-04-24,2,North,6977,117
2018-04-25,3,West,5268,139
2018-04-26,4,West,5748,171
2018-04-27,1,South,5849,138
2018-04-28,2,North,4709,113
2018-04-29,4,South,7619,131
2018-04-30,1,North,9647,150
2018-05-01,4,South,4072,137
2018-05-02,1,East,7530,196
2018-05-03,2,West,1504,122
2018-05-04,3,North,2214,162
2018-05-05,1,North,2531,114
2018-05-06,4,West,8576,196
2018-05-07,2,North,1823,124
2018-05-08,1,North,1928,116
2018-05-09,4,South,6029,196
2018-05-10,4,North,1133,165
2018-05-11,4,East,3105,177
2018-05-12,1,East,4627,152
2018-05-13,1,West,7316,150
2018-05-14,1,North,2852,138
2018-05-15,3,West,5910,150
2018-05-16,1,East,5175,169
2018-05-17,1,North,6348,105
2018-05-18,1,North,7190,166
2018-05-19,3,West,2256,106
2018-05-20,1,East,4376,150
2018-05-21,4,North,6645,171
2018-05-22,1,West,4486,141
2018-05-23,4,East,4584,163
2018-05-24,4,West,9053,114
2018-05-25,4,South,4330,128
2018-05-26,3,North,3703,132
2018-05-27,3,South,9662,193
2018-05-28,3,East,9120,126
2018-05-29,1,South,8114,135
2018-05-30,4,South,2353,128
2018-05-31,3,East,6063,137
2018-06-01,3,West,9549,156
2018-06-02,1,South,8575,196
2018-06-03,3,West,1667,126
2018-06-04,1,South,5468,154
2018-06-05,2,West,7819,132
2018-06-06,3,East,4719,167
2018-06-07,2,South,3745,185
2018-06-08,1,East,8483,165
2018-06-09,4,South,1539,109
2018-06-10,3,East,5964,104
2018-06-11,1,East,5835,173
2018-06-12,4,South,4775,196
2018-06-13,4,South,7042,137
2018-06-14,2,South,8102,112
2018-06-15,1,North,8312,130
2018-06-16,4,West,6320,146
2018-06-17,3,North,7132,199
2018-06-18,3,North,8891,187
2018-06-19,2,East,3779,151
2018-06-20,4,South,1924,155
2018-06-21,1,West,2581,114
2018-06-22,3,East,8714,128
2018-06-23,4,North,4324,107
2018-06-24,4,South,6713,104
2018-06-25,2,East,8026,128
2018-06-26,3,South,1255,146
2018-06-27,3,East,5804,167
2018-06-28,1,South,2838,175
2018-06-29,3,North,1009,144
2018-06-30,1,West,3871,101
2018-07-01,3,North,9989,126
2018-07-02,2,West,8409,194
2018-07-03,3,South,8418,135
2018-07-04,1,East,6124,135
2018-07-05,1,North,2015,125
2018-07-06,2,West,3193,142
2018-07-07,3,North,9415,126
2018-07-08,3,West,8449,168
2018-07-09,2,North,5158,119
2018-07-10,3,West,4925,110
2018-07-11,3,West,7970,173
2018-07-12,1,South,7938,137
2018-07-13,3,West,5784,105
2018-07-14,3,South,5000,171
2018-07-15,2,West,2633,122
2018-07-16,2,East,8266,146
2018-07-17,4,East,9702,189
2018-07-18,1,East,1384,145
2018-07-19,3,West,1404,111
2018-07-20,3,South,9175,189
2018-07-21,4,South,3000,112
2018-07-22,3,West,6989,161
2018-07-23,1,East,2460,181
2018-07-24,4,East,8190,188
2018-07-25,1,South,8140,196
2018-07-26,4,East,4636,159
2018-07-27,4,North,5809,142
2018-07-28,2,South,5178,175
2018-07-29,1,East,8245,199
2018-07-30,3,South,7600,167
2018-07-31,3,North,6997,104
2018-08-01,1,South,3048,136
2018-08-02,3,South,5780,171
2018-08-03,3,South,1716,191
2018-08-04,1,South,8939,130
2018-08-05,4,North,6565,108
2018-08-06,1,West,5544,150
2018-08-07,4,South,5976,128
2018-08-08,3,South,4419,177
2018-08-09,3,East,8239,139
2018-08-10,3,South,1249,140
2018-08-11,2,East,9865,185
2018-08-12,4,West,1770,110
2018-08-13,2,North,5363,122
2018-08-14,2,North,2077,100
2018-08-15,1,West,9427,145
2018-08-16,2,North,9580,120
2018-08-17,1,West,8901,189
2018-08-18,1,West,5858,135
2018-08-19,2,West,7544,153
2018-08-20,4,North,5719,186
2018-08-21,4,East,3814,156
2018-08-22,4,West,4374,100
2018-08-23,4,South,2252,162
2018-08-24,4,North,7996,153
2018-08-25,2,West,5673,154
2018-08-26,2,West,5530,139
2018-08-27,3,South,7881,114
2018-08-28,4,East,7949,120
2018-08-29,2,East,7241,146
2018-08-30,3,East,9017,172
2018-08-31,4,West,7941,152
2018-09-01,1,West,8002,108
2018-09-02,3,West,2331,173
2018-09-03,2,North,5261,151
2018-09-04,1,South,8648,156
2018-09-05,1,West,6115,125
2018-09-06,1,South,5637,140
2018-09-07,3,South,5854,134
2018-09-08,2,East,4177,162
2018-09-09,1,North,8730,124
2018-09-10,4,West,3180,189
2018-09-11,1,East,5892,174
2018-09-12,1,East,8043,137
2018-09-13,3,West,1137,101
2018-09-14,3,South,7327,106
2018-09-15,2,East,4472,181
2018-09-16,4,South,6449,190
2018-09-17,3,North,3832,133
2018-09-18,1,South,4579,190
2018-09-19,2,North,6971,116
2018-09-20,1,South,5164,142
2018-09-21,1,East,8941,158
2018-09-22,3,East,6569,150
2018-09-23,2,North,5300,153
2018-09-24,4,West,7269,123
2018-09-25,4,North,4818,124
2018-09-26,3,North,2906,170
2018-09-27,3,South,7254,151
2018-09-28,2,South,1760,169
2018-09-29,4,North,8830,187
2018-09-30,4,East,8350,132
2018-10-01,4,South,7238,148
2018-10-02,1,West,7090,128
2018-10-03,4,South,7031,162
2018-10-04,1,South,8687,121
2018-10-05,2,West,9472,125
2018-10-06,1,North,2887,127
2018-10-07,2,West,4266,184
2018-10-08,4,North,1666,148
2018-10-09,4,North,5188,170
2018-10-10,2,North,1671,180
2018-10-11,3,West,7777,183
2018-10-12,2,North,8570,148
2018-10-13,3,East,8956,119
2018-10-14,1,West,6124,185
2018-10-15,1,East,6585,191
2018-10-16,1,North,5777,162
2018-10-17,4,South,4900,160
2018-10-18,1,North,7677,148
2018-10-19,3,East,7981,170
2018-10-20,1,East,7376,100
2018-10-21,2,West,1523,195
2018-10-22,2,South,3393,112
2018-10-23,4,West,3593,193
2018-10-24,2,East,8240,186
2018-10-25,3,North,7937,150
2018-10-26,1,South,7190,155
2018-10-27,4,North,6240,182
2018-10-28,1,North,7493,161
2018-10-29,1,South,3878,131
2018-10-30,3,West,5143,129
2018-10-31,2,North,4644,128
2018-11-01,2,East,5432,148
2018-11-02,1,North,2276,144
2018-11-03,4,South,6811,192
2018-11-04,2,South,1302,129
2018-11-05,4,South,1638,115
2018-11-06,2,West,1055,139
2018-11-07,4,North,9717,118
2018-11-08,3,West,9150,117
2018-11-09,4,West,3125,100
2018-11-10,3,South,1364,177
2018-11-11,3,South,7809,146
2018-11-12,4,West,5621,165
2018-11-13,3,North,6126,191
2018-11-14,1,East,6122,193
2018-11-15,3,West,2646,137
2018-11-16,2,North,1918,150
2018-11-17,4,South,3797,162
2018-11-18,1,South,7506,103
2018-11-19,4,North,6870,100
2018-11-20,2,East,2531,107
2018-11-21,2,South,9172,128
2018-11-22,2,South,4345,154
2018-11-23,3,South,8673,102
2018-11-24,3,North,7949,131
2018-11-25,4,West,7882,109
2018-11-26,4,South,2906,173
2018-11-27,1,West,4086,182
2018-11-28,1,East,9152,133
2018-11-29,4,South,6750,196
2018-11-30,3,South,9905,186
2018-12-01,2,East,2062,154
2018-12-02,4,South,2976,191
2018-12-03,1,West,2296,131
2018-12-04,3,North,7229,149
2018-12-05,4,West,8641,106
2018-12-06,4,North,1125,192
2018-12-07,3,North,5632,107
2018-12-08,4,West,7288,164
2018-12-09,3,West,4596,156
2018-12-10,2,West,7168,166
2018-12-11,3,West,8561,187
2018-12-12,3,East,9258,186
2018-12-13,3,South,1232,158
2018-12-14,4,North,7371,171
2018-12-15,4,West,5206,153
2018-12-16,3,West,8943,166
2018-12-17,4,West,7891,150
2018-12-18,1,East,7738,196
2018-12-19,1,West,3472,191
2018-12-20,4,West,3739,107
2018-12-21,4,West,6401,133
2018-12-22,3,South,2761,134
2018-12-23,2,East,1876,195
2018-12-24,4,West,4812,187
2018-12-25,1,North,2460,177
2018-12-26,3,North,2733,131
2018-12-27,4,North,2605,145
2018-12-28,1,East,6622,115
2018-12-29,1,East,7767,167
2018-12-30,2,North,7986,136
2018-12-31,3,West,4517,153
