date,sales,promo,holiday,temperature
2023-04-04,238,1,0,20.757146394173855
2023-04-05,443,1,0,28.45955252439952
2023-04-06,139,0,1,23.37796877924131
2023-04-07,50,0,1,17.274766845772714
2023-04-08,291,1,0,25.96628304127939
2023-04-09,499,0,0,26.023320747847684
2023-04-10,146,1,0,18.82477280446302
2023-04-11,175,1,1,17.100562947722512
2023-04-12,330,0,1,25.630479652549766
2023-04-13,297,1,1,17.816933035320496
2023-04-14,228,1,1,28.463148570355422
2023-04-15,209,1,1,21.51092953792589
2023-04-16,103,0,1,27.39294572937837
2023-04-17,282,0,1,28.412042404403103
2023-04-18,435,1,0,25.47554935825039
2023-04-19,435,0,1,20.956057032378876
2023-04-20,65,0,1,29.221357990383265
2023-04-21,330,0,0,22.40043594253059
2023-04-22,189,0,0,18.05806734264927
2023-04-23,349,0,1,24.366797632091647
2023-04-24,158,1,0,21.33303314326094
2023-04-25,182,1,0,24.363392249652875
2023-04-26,304,0,1,27.627279569084095
2023-04-27,265,1,0,20.624139333836602
2023-04-28,276,1,0,21.776723993521582
2023-04-29,286,0,0,25.80101581755998
2023-04-30,249,1,0,20.513894213301043
2023-05-01,335,1,1,18.001098768765353
2023-05-02,88,1,1,24.595090063570915
2023-05-03,367,0,1,18.20366400688338
2023-05-04,447,0,1,16.485672324176548
2023-05-05,100,0,0,22.35993003742111
2023-05-06,157,0,0,25.207794768061493
2023-05-07,118,1,0,22.136166346401275
2023-05-08,405,0,0,19.55055391987171
2023-05-09,357,1,1,22.403634451372618
2023-05-10,300,0,1,23.110765543657735
2023-05-11,415,0,1,17.20168833107891
2023-05-12,115,0,0,25.11290427800514
2023-05-13,94,0,1,21.21043418674453
2023-05-14,146,0,0,23.186883256535538
2023-05-15,132,0,1,15.832162467869496
2023-05-16,157,0,1,29.08514076114635
2023-05-17,118,1,1,15.675979468924087
2023-05-18,163,0,0,22.195734129204425
2023-05-19,327,1,0,15.097964712179387
2023-05-20,269,1,1,20.806106226254077
2023-05-21,350,0,1,29.93997566755813
2023-05-22,490,0,1,23.14556931799985
2023-05-23,182,0,1,19.42341452067583
2023-05-24,215,0,1,16.39405709004607
2023-05-25,71,1,1,20.65203268421484
2023-05-26,73,1,0,29.41511587018858
2023-05-27,372,1,0,19.77134139529833
2023-05-28,245,0,0,29.703313844637634
2023-05-29,138,0,0,22.058263074478567
2023-05-30,264,1,0,16.424854194233685
2023-05-31,387,1,1,16.57085038281457
2023-06-01,314,0,1,19.384825290863315
2023-06-02,143,1,1,25.04938720709021
2023-06-03,139,1,1,29.520622436157517
2023-06-04,201,0,1,16.455618798850498
2023-06-05,425,1,0,18.947340910716882
2023-06-06,319,1,1,24.47445089691235
2023-06-07,148,1,0,25.823830886751086
2023-06-08,245,0,1,26.89975971912085
2023-06-09,161,0,1,20.268448822905803
2023-06-10,433,0,0,25.992207731510675
2023-06-11,90,0,0,28.451108013666214
2023-06-12,376,0,0,26.49691673067256
2023-06-13,325,1,0,15.94274494587497
2023-06-14,191,0,0,24.881206581667676
2023-06-15,164,0,1,15.62227213708542
2023-06-16,282,1,1,28.365439563816853
2023-06-17,303,1,1,15.92423821053047
2023-06-18,146,0,1,17.43545187586292
2023-06-19,84,1,1,24.993461898794468
2023-06-20,203,0,1,17.75035193427965
2023-06-21,164,1,0,25.941888218057642
2023-06-22,96,0,0,20.45704560576696
2023-06-23,184,0,1,22.582353297653626
2023-06-24,179,0,1,29.560905796888598
2023-06-25,236,1,0,16.143768774264963
2023-06-26,459,1,0,22.603104146315783
2023-06-27,391,1,0,16.703073813700872
2023-06-28,191,1,0,27.01485860272851
2023-06-29,329,1,0,20.57212261983219
2023-06-30,273,0,1,18.26803425785102
2023-07-01,145,0,0,22.4484540625842
2023-07-02,475,0,1,27.54871245141463
2023-07-03,213,0,1,20.831522853029625
2023-07-04,325,1,0,23.80045682119157
2023-07-05,190,0,1,27.62572550734702
2023-07-06,86,0,1,18.051947873854036
2023-07-07,183,1,1,21.371362064889176
2023-07-08,132,1,1,21.75063615471988
2023-07-09,274,0,0,26.632414159214612
2023-07-10,319,1,1,21.698619234592467
2023-07-11,86,1,0,17.829529493436954
2023-07-12,55,0,0,27.17337802234427
2023-07-13,399,1,0,23.263217989971736
2023-07-14,366,0,0,24.932830458710878
2023-07-15,395,0,0,19.480779859912438
2023-07-16,84,0,1,17.26986714955354
2023-07-17,380,1,1,22.659760876818922
2023-07-18,444,1,0,17.134826930121687
2023-07-19,121,1,0,24.674186434870848
2023-07-20,168,1,1,21.87265980265051
2023-07-21,212,0,1,18.283883559487947
2023-07-22,151,1,1,27.92643998175429
2023-07-23,429,0,1,28.17999388360595
2023-07-24,219,0,1,25.60998621139079
2023-07-25,340,0,0,17.574672138625424
2023-07-26,394,0,1,27.05085786542999
2023-07-27,489,1,0,24.56751802771636
2023-07-28,477,0,1,24.591699662685443
2023-07-29,373,0,1,28.989812332154074
2023-07-30,175,1,0,26.46821530450098
2023-07-31,92,0,1,18.559416953842295
2023-08-01,105,1,1,26.160391358383094
2023-08-02,477,1,0,15.503819879835806
2023-08-03,364,1,1,19.89344299834896
2023-08-04,450,0,0,15.73105796261094
2023-08-05,246,0,0,16.900996912492992
2023-08-06,427,0,0,25.94969116241851
2023-08-07,94,1,1,23.45315251808088
2023-08-08,155,0,1,16.346657387945484
2023-08-09,350,0,1,25.149870236335452
2023-08-10,115,1,0,26.35715165726235
2023-08-11,304,1,1,25.267793711383923
2023-08-12,81,1,1,29.982220035934613
2023-08-13,259,1,1,19.26397622158285
2023-08-14,211,0,0,16.292570212006392
2023-08-15,160,1,1,24.269663102401214
2023-08-16,95,1,1,16.487911016203675
2023-08-17,140,1,0,20.0962763225237
2023-08-18,115,1,0,20.767242853887737
2023-08-19,269,0,1,15.963160170623214
2023-08-20,128,1,0,29.552999471407915
2023-08-21,418,0,1,22.4851746691675
2023-08-22,143,0,0,15.616674820331264
2023-08-23,230,1,0,23.414348221128524
2023-08-24,372,0,0,26.543145866694324
2023-08-25,168,1,1,26.047704558228467
2023-08-26,53,0,1,26.573092151087565
2023-08-27,94,1,1,27.50692752866936
2023-08-28,122,0,1,18.83401891200944
2023-08-29,51,1,0,16.766722186864364
2023-08-30,72,0,0,17.644274037294938
2023-08-31,275,0,1,24.04521917845519
2023-09-01,284,0,1,28.30436781647736
2023-09-02,349,0,0,26.146846076626147
2023-09-03,88,1,1,17.8945365930985
2023-09-04,244,1,1,23.65535385709169
2023-09-05,129,1,0,16.976879941959194
2023-09-06,65,0,0,16.921987442902356
2023-09-07,282,1,1,20.508091612346046
2023-09-08,362,1,1,19.964329057238785
2023-09-09,281,1,1,18.66538414446139
2023-09-10,220,0,1,21.170850869194386
2023-09-11,333,1,1,26.500844551471687
2023-09-12,473,0,1,27.691619802458472
2023-09-13,172,0,1,24.983728288023016
2023-09-14,53,0,0,24.132291939014962
2023-09-15,369,0,0,26.573755355077026
2023-09-16,176,1,1,15.855778942941862
2023-09-17,432,1,0,19.425533160519457
2023-09-18,217,0,0,21.295257389981195
2023-09-19,435,0,0,18.6177632337682
2023-09-20,410,1,1,20.324516376475685
2023-09-21,290,1,0,21.49458265076858
2023-09-22,253,1,1,25.252461100229407
2023-09-23,141,1,0,29.076265246356655
2023-09-24,469,1,1,24.018124090235332
2023-09-25,428,0,0,27.34375282756467
2023-09-26,359,0,1,23.38816399268591
2023-09-27,319,0,1,28.49359482847882
2023-09-28,116,1,1,17.457045571334895
2023-09-29,62,0,0,19.86727814626346
2023-09-30,285,0,1,28.237597568249
2023-10-01,262,0,0,22.516175065566006
2023-10-02,313,0,0,23.29036347083591
2023-10-03,124,0,0,23.83533538915175
2023-10-04,59,0,0,18.7140842658838
2023-10-05,393,0,1,20.25151346315016
2023-10-06,433,1,0,28.936870106160587
2023-10-07,356,1,1,19.323138717378967
2023-10-08,367,1,1,22.504782332585307
2023-10-09,473,0,1,25.72517477790356
2023-10-10,111,1,0,27.548554568841695
2023-10-11,285,1,1,26.553121557974848
2023-10-12,178,1,0,23.095984368838046
2023-10-13,432,0,0,16.64137827524175
2023-10-14,409,1,0,22.00737466112915
2023-10-15,171,0,1,17.66599862249251
2023-10-16,223,0,1,17.010817100347825
2023-10-17,81,0,1,16.515414563997997
2023-10-18,380,0,1,23.148880611146744
2023-10-19,172,1,1,29.867986367719276
2023-10-20,77,0,0,19.232453643010412
2023-10-21,106,0,1,29.759316100187263
2023-10-22,133,1,1,18.040368607300874
2023-10-23,315,0,0,29.116724568000876
2023-10-24,235,0,1,29.70324640145584
2023-10-25,308,0,1,20.542622112763222
2023-10-26,299,1,1,23.05446229760735
2023-10-27,460,0,0,18.87470139463382
2023-10-28,409,0,0,15.107887761998636
2023-10-29,287,1,1,29.88673356338809
2023-10-30,99,1,1,29.05095308350401
2023-10-31,60,0,0,24.464093305304857
2023-11-01,147,1,0,18.821716705822205
2023-11-02,290,0,0,16.391964013176242
2023-11-03,97,1,0,23.49252263680819
2023-11-04,472,0,0,19.940483763389338
2023-11-05,309,0,1,29.40012633908381
2023-11-06,412,0,0,18.375412666067373
2023-11-07,419,0,0,22.633032069545084
2023-11-08,338,0,0,29.32006045466555
2023-11-09,191,0,0,19.123606166911493
2023-11-10,146,0,1,26.991586416691277
2023-11-11,279,1,1,16.140945398300037
2023-11-12,313,0,0,16.764795855380495
2023-11-13,261,0,0,25.316586066027433
2023-11-14,50,0,1,22.87407853317439
2023-11-15,99,0,1,27.54364738225466
2023-11-16,237,0,0,18.409315543779233
2023-11-17,315,1,0,26.788145734997208
2023-11-18,227,0,0,25.441130247600704
2023-11-19,406,0,0,18.12713606682457
2023-11-20,343,1,0,22.47095586788241
2023-11-21,323,0,0,17.88472198235826
2023-11-22,192,0,0,19.44831369501882
2023-11-23,245,1,1,25.49149085225184
2023-11-24,306,1,1,25.368578034590293
2023-11-25,306,0,0,16.997392237023874
2023-11-26,57,0,1,27.549509204671338
2023-11-27,239,0,0,26.36531878353049
2023-11-28,149,1,1,19.252955397166158
2023-11-29,458,1,1,24.26426996666025
2023-11-30,108,1,0,15.337664945668935
2023-12-01,263,0,0,20.058745645680958
2023-12-02,280,1,0,17.463690946275122
2023-12-03,346,1,0,15.07065502871583
2023-12-04,466,0,0,29.771432367151405
2023-12-05,306,0,1,16.92285291297644
2023-12-06,326,0,0,29.40173964418652
2023-12-07,233,0,0,15.451780869549223
2023-12-08,295,0,1,24.173581792929376
2023-12-09,206,1,0,27.93469270523932
2023-12-10,152,1,0,26.46018423614414
2023-12-11,242,1,1,22.544498498085783
2023-12-12,394,0,1,25.6733766962481
2023-12-13,455,1,0,25.65568069085367
2023-12-14,299,0,0,15.91646112304584
2023-12-15,179,0,1,22.504349688562996
2023-12-16,398,1,1,17.112239815974412
2023-12-17,241,1,0,20.55440291761253
2023-12-18,328,1,0,24.220903069685917
2023-12-19,111,0,0,17.563966146924567
2023-12-20,463,1,1,26.010616205463933
2023-12-21,329,0,0,28.532999792350612
2023-12-22,471,0,1,22.751077596209964
2023-12-23,99,1,1,22.92170604363945
2023-12-24,395,1,1,25.069365955881523
2023-12-25,418,1,1,16.07414682404417
2023-12-26,116,1,0,18.39371651524788
2023-12-27,300,1,1,26.875446394005557
2023-12-28,248,1,0,29.322828888572506
2023-12-29,302,0,0,27.355442256641034
2023-12-30,444,1,0,15.501981833096215
2023-12-31,320,0,1,29.352986378943193
2024-01-01,89,0,1,29.15159912818642
2024-01-02,222,0,1,19.732463619980194
2024-01-03,470,0,0,20.96664243527775
2024-01-04,61,0,0,25.718119126563572
2024-01-05,280,1,0,20.348270502926393
2024-01-06,81,1,1,23.486877460819613
2024-01-07,120,0,1,29.179882457429514
2024-01-08,204,1,0,29.623954874948495
2024-01-09,244,1,0,26.703929893625293
2024-01-10,178,0,0,26.7088667593924
2024-01-11,456,0,1,20.305641408180158
2024-01-12,283,1,0,29.023889834004553
2024-01-13,312,0,1,28.956572040487742
2024-01-14,212,1,1,29.206196404403627
2024-01-15,51,1,0,27.127590856473788
2024-01-16,253,1,1,23.58114517650414
2024-01-17,77,1,1,19.12869448995962
2024-01-18,74,0,0,28.743702462732713
2024-01-19,350,1,0,21.22426961772955
2024-01-20,368,1,1,15.843926467412345
2024-01-21,212,1,1,18.890741719124506
2024-01-22,232,0,1,19.383591642768742
2024-01-23,205,0,0,17.51548269081587
2024-01-24,234,1,0,16.02546510236565
2024-01-25,169,0,0,22.543926278932556
2024-01-26,156,0,0,17.989642978003047
2024-01-27,377,0,0,18.298014495644804
2024-01-28,120,1,0,21.331154903354694
2024-01-29,291,0,1,17.25430159153596
2024-01-30,337,0,1,15.337048377055003
2024-01-31,370,1,1,19.93562092237928
2024-02-01,87,0,1,19.12585059861617
2024-02-02,162,1,1,28.978665644511736
2024-02-03,305,1,0,26.57487755512271
2024-02-04,472,1,0,20.08549321522345
2024-02-05,435,0,0,27.613014649611205
2024-02-06,487,0,0,21.47522761607025
2024-02-07,201,0,1,20.56335636906373
2024-02-08,354,0,0,17.277664176928944
2024-02-09,468,0,0,16.175418870941307
2024-02-10,164,1,0,15.058621830194646
2024-02-11,211,0,0,22.468272999046206
2024-02-12,81,0,1,15.100288963933961
2024-02-13,426,0,1,18.995575194086975
2024-02-14,70,0,1,21.98191763787899
2024-02-15,78,0,1,16.325413129582426
2024-02-16,188,1,1,23.17651623325716
2024-02-17,429,1,0,15.157495321041324
2024-02-18,387,1,0,25.378909427585718
2024-02-19,346,0,1,26.65839476227444
2024-02-20,355,1,1,18.754150463632712
2024-02-21,383,0,1,18.977904870362472
2024-02-22,233,0,0,18.06743386539787
2024-02-23,109,1,1,20.919186706952722
2024-02-24,316,1,1,18.023118986233126
2024-02-25,468,0,0,16.72991789067862
2024-02-26,467,1,0,22.856865826468283
2024-02-27,408,1,0,19.091618136594874
2024-02-28,83,1,1,19.62714656771562
2024-02-29,56,0,1,27.931640411601144
2024-03-01,381,1,0,17.3105867342901
2024-03-02,441,0,0,25.04570090056239
2024-03-03,269,1,1,17.02274361000124
2024-03-04,262,0,0,15.44060697366715
2024-03-05,348,1,0,23.872484471953655
2024-03-06,160,1,1,26.902324791776998
2024-03-07,373,1,1,28.632857677320352
2024-03-08,358,0,0,28.760280031556213
2024-03-09,127,1,1,29.42637438972107
2024-03-10,352,1,0,18.94042705124789
2024-03-11,290,0,0,15.455479174786221
2024-03-12,239,1,0,16.060303799270553
2024-03-13,314,0,0,15.479293894008393
2024-03-14,268,0,0,19.284331855866046
2024-03-15,257,1,1,18.613883640986
2024-03-16,310,0,0,17.38512196381628
2024-03-17,255,0,0,23.35496738128945
2024-03-18,119,1,0,18.25128181189946
2024-03-19,380,1,0,25.506184982034597
2024-03-20,228,0,1,29.591042935514785
2024-03-21,390,1,1,29.295808879100136
2024-03-22,411,1,1,20.09538059837625
2024-03-23,437,1,0,24.04139870931382
2024-03-24,132,0,0,21.465698553624826
2024-03-25,314,0,1,27.063953232032407
2024-03-26,441,0,0,16.966656109585646
2024-03-27,166,1,0,25.85112796980073
2024-03-28,421,1,0,27.55407499460333
2024-03-29,119,0,1,22.833456447551004
2024-03-30,164,1,1,19.974705104614863
2024-03-31,243,0,0,22.558729849090888
2024-04-01,399,1,0,24.4465560814001
2024-04-02,144,1,1,15.161581888520125
2024-04-03,60,0,1,17.685508698969105
2024-04-04,320,1,0,15.30327943355491
2024-04-05,303,0,1,27.02354010660052
2024-04-06,249,1,1,21.079362317088002
2024-04-07,340,1,0,24.299756604270325
2024-04-08,83,0,0,26.997620117836682
2024-04-09,259,0,0,16.714793369136988
2024-04-10,328,0,0,21.150025425753622
2024-04-11,493,1,0,16.351580225962575
2024-04-12,262,1,0,15.214609433523249
2024-04-13,212,0,1,25.57491108962555
2024-04-14,143,1,0,23.072943974354928
2024-04-15,428,0,0,29.540934659922215
2024-04-16,176,0,0,26.155954972009447
2024-04-17,75,0,1,20.818108678966667
2024-04-18,376,0,1,21.55303888508664
2024-04-19,411,1,0,28.173605940153514
2024-04-20,208,1,0,15.905265988245883
2024-04-21,407,0,1,20.87516070957414
2024-04-22,88,0,1,29.284801976320672
2024-04-23,123,1,1,29.033855487730463
2024-04-24,225,1,1,20.846866222421557
2024-04-25,494,1,1,24.139098748016625
2024-04-26,413,0,1,23.734550731755263
2024-04-27,341,1,0,20.812860278580054
2024-04-28,385,0,1,24.479217940488116
2024-04-29,450,1,1,20.364221932061724
2024-04-30,140,1,0,28.83785207078992
2024-05-01,331,1,1,16.958373718765984
2024-05-02,404,0,0,23.49148453507707
2024-05-03,199,1,0,24.462927179846673
2024-05-04,125,0,1,25.633225044665025
2024-05-05,151,0,1,21.665366104979846
2024-05-06,440,1,1,25.043347125235428
2024-05-07,323,0,1,27.269466740381013
2024-05-08,494,0,0,28.572080307345544
2024-05-09,241,1,1,15.995009073507342
2024-05-10,350,0,0,16.23128305313553
2024-05-11,270,0,1,28.30627456030395
2024-05-12,470,0,0,24.9496975086439
2024-05-13,238,0,1,15.76047828889004
2024-05-14,243,1,1,29.191505298064804
2024-05-15,335,1,0,23.27431035350265
2024-05-16,356,0,0,29.79064816524278
2024-05-17,251,0,1,29.520269785121428
2024-05-18,328,0,0,23.234460099445158
2024-05-19,438,1,0,21.39886228350447
2024-05-20,149,0,0,25.737598675875123
2024-05-21,288,0,0,21.301910825352927
2024-05-22,76,0,1,25.446514171892606
2024-05-23,183,0,1,21.33911585716065
2024-05-24,170,1,0,17.433841252295707
2024-05-25,182,0,0,26.24418657732633
2024-05-26,259,0,0,20.68163115720332
2024-05-27,274,0,0,19.956050058092472
2024-05-28,206,0,0,26.158129200795468
2024-05-29,175,0,0,15.070805081728318
2024-05-30,358,0,0,15.95444862750228
2024-05-31,478,1,0,27.515975203697682
2024-06-01,479,1,1,19.623935852394737
2024-06-02,293,0,1,21.540514752658773
2024-06-03,125,1,0,24.45040621282341
2024-06-04,484,0,0,20.603145782857837
2024-06-05,206,0,0,17.00656943629879
2024-06-06,293,0,1,21.543409973231693
2024-06-07,141,0,0,23.12968226762281
2024-06-08,416,1,1,27.596912232199756
2024-06-09,274,0,0,25.757466566786867
2024-06-10,80,1,1,26.43794073159767
2024-06-11,418,0,0,22.790859600306455
2024-06-12,166,0,1,25.67142197752961
2024-06-13,460,0,1,21.761385861344515
2024-06-14,217,0,1,25.82200752939037
2024-06-15,256,0,0,29.81571701592847
2024-06-16,375,1,0,21.057871607884987
2024-06-17,494,0,1,20.480011784334653
2024-06-18,156,1,0,21.59445425160335
2024-06-19,198,1,1,22.418160035588674
2024-06-20,371,0,0,23.992729761686995
2024-06-21,398,0,1,15.861060776998638
2024-06-22,180,1,0,29.98714282395094
2024-06-23,107,0,1,22.703287674506477
2024-06-24,329,0,0,26.960083483868672
2024-06-25,283,1,1,28.568342572321896
2024-06-26,216,0,0,23.204420309101355
2024-06-27,209,1,0,25.163447411338186
2024-06-28,353,1,0,15.732581779890774
2024-06-29,324,0,0,23.44044764340268
2024-06-30,138,0,1,19.56146728778848
2024-07-01,76,0,0,25.298172695557874
2024-07-02,494,0,1,29.340039628144552
2024-07-03,178,1,0,16.853270361942826
2024-07-04,149,1,1,20.08453170105114
2024-07-05,69,0,0,27.17365779105399
2024-07-06,363,0,1,29.76516411119009
2024-07-07,182,0,0,26.75242733246276
2024-07-08,365,1,0,29.216614121536765
2024-07-09,61,0,0,25.695891653491422
2024-07-10,235,1,1,29.233950782284204
2024-07-11,208,0,0,21.955083993064044
2024-07-12,365,1,1,29.526069292241196
2024-07-13,342,0,0,15.897721544713168
2024-07-14,56,1,1,18.049495022054057
2024-07-15,459,0,0,16.22062236104253
2024-07-16,343,0,1,25.85372989126517
2024-07-17,209,1,1,25.453060256459036
2024-07-18,343,1,0,25.11461227866246
2024-07-19,83,0,1,17.840483880181797
2024-07-20,353,1,0,20.757208402540524
2024-07-21,278,1,0,29.78163523568253
2024-07-22,442,1,0,25.85558809347451
2024-07-23,386,0,1,22.080585477500538
2024-07-24,243,1,1,15.350412891511308
2024-07-25,80,1,1,20.868104634968066
2024-07-26,139,1,0,23.98828460303202
2024-07-27,288,1,0,18.722006235067678
2024-07-28,221,1,0,25.732495533861453
2024-07-29,146,0,0,29.038074139132043
2024-07-30,227,0,1,15.637422479020472
2024-07-31,205,0,0,19.62039906893406
2024-08-01,342,1,0,21.388882574348962
2024-08-02,363,0,1,19.977921843056013
2024-08-03,497,1,1,29.163542858142375
2024-08-04,165,0,1,26.60498055913694
2024-08-05,265,0,1,26.132014897390853
2024-08-06,447,1,0,20.903193379441596
2024-08-07,163,0,0,15.827228335635406
2024-08-08,109,0,0,23.266361855278454
2024-08-09,176,0,0,27.186771576422167
2024-08-10,191,0,0,20.547606250784643
2024-08-11,474,0,1,21.122387769138083
2024-08-12,413,0,1,22.21486316465716
2024-08-13,174,1,0,27.576115754883283
2024-08-14,457,0,0,17.415260388776055
2024-08-15,421,1,0,18.838541469775233
2024-08-16,328,1,1,17.172548038508133
2024-08-17,157,1,0,29.868370168118652
2024-08-18,317,1,0,27.794707079264775
2024-08-19,135,1,1,27.108047655602817
2024-08-20,351,0,0,26.8764411546557
2024-08-21,385,0,0,20.87972938963798
2024-08-22,214,1,1,23.117807447411487
2024-08-23,357,1,1,18.615575665609125
2024-08-24,416,1,0,27.90025322442097
2024-08-25,383,1,1,17.108697941803538
2024-08-26,124,0,0,28.061120472209126
2024-08-27,174,0,0,26.65029077848756
2024-08-28,267,1,0,21.723439338619674
2024-08-29,442,1,0,17.52333738893067
2024-08-30,399,1,0,18.796184741634228
2024-08-31,413,1,1,16.87835325993065
2024-09-01,171,1,0,29.094261616668952
2024-09-02,375,0,1,27.16456552407619
2024-09-03,306,1,0,28.888603341712088
2024-09-04,268,0,1,20.523358298771925
2024-09-05,362,1,0,15.466476602786058
2024-09-06,220,1,0,17.076855994228517
2024-09-07,180,0,0,28.789191317320437
2024-09-08,122,1,0,29.827395437266173
2024-09-09,310,1,0,16.658310998566172
2024-09-10,379,1,1,19.201595015181255
2024-09-11,482,1,1,28.681028444447236
2024-09-12,101,0,1,25.14177000454655
2024-09-13,92,0,0,28.238474921894028
2024-09-14,216,0,1,19.703809081983145
2024-09-15,192,0,0,29.984210842506258
2024-09-16,321,0,1,15.300225421610966
2024-09-17,252,0,0,26.951814712136738
2024-09-18,57,0,0,28.482558869219233
2024-09-19,196,0,0,27.536038675281258
2024-09-20,356,0,0,23.48874806589704
2024-09-21,389,0,0,20.7128065019853
2024-09-22,319,0,1,28.57333125158906
2024-09-23,340,0,0,19.483374673281773
2024-09-24,73,0,1,20.24768337138181
2024-09-25,338,0,1,15.78805329147096
2024-09-26,374,0,1,29.102990939955706
2024-09-27,343,1,1,23.42657171403689
2024-09-28,111,1,1,17.983396510171012
2024-09-29,491,1,1,19.25595627377221
2024-09-30,264,0,1,27.659894224341706
2024-10-01,210,1,0,19.373283472286104
2024-10-02,246,1,1,22.31903427349915
2024-10-03,463,0,0,29.38505268721878
2024-10-04,429,0,0,20.944653383257307
2024-10-05,79,0,1,25.196448312033972
2024-10-06,225,1,1,24.543555482738384
2024-10-07,234,1,1,17.334802169321158
2024-10-08,57,0,0,23.027034616188438
2024-10-09,65,1,1,27.66852132865021
2024-10-10,497,1,1,18.727504769438266
2024-10-11,466,1,0,29.900531316151948
2024-10-12,202,0,1,26.355162224721347
2024-10-13,446,0,1,29.98167787010028
2024-10-14,275,0,0,26.099238567245948
2024-10-15,143,0,0,28.475374450111133
2024-10-16,304,0,1,15.66926653894769
2024-10-17,218,0,0,26.911480783430108
2024-10-18,233,0,1,20.83629593223579
2024-10-19,394,1,1,24.322849402704662
2024-10-20,238,0,1,16.41016612215986
2024-10-21,314,0,1,16.367686527815906
2024-10-22,91,0,0,15.408700522846361
2024-10-23,243,0,1,25.080721523967473
2024-10-24,285,0,1,26.26400432787329
2024-10-25,407,0,1,19.082173599193215
2024-10-26,342,0,1,20.068477412250672
