date,sales
2023-09-26,373
2023-09-27,488
2023-09-28,252
2023-09-29,233
2023-09-30,172
2023-10-01,450
2023-10-02,304
2023-10-03,343
2023-10-04,329
2023-10-05,374
2023-10-06,421
2023-10-07,147
2023-10-08,247
2023-10-09,444
2023-10-10,289
2023-10-11,193
2023-10-12,146
2023-10-13,250
2023-10-14,173
2023-10-15,236
2023-10-16,375
2023-10-17,398
2023-10-18,308
2023-10-19,197
2023-10-20,301
2023-10-21,492
2023-10-22,469
2023-10-23,452
2023-10-24,395
2023-10-25,196
2023-10-26,197
2023-10-27,401
2023-10-28,248
2023-10-29,357
2023-10-30,466
2023-10-31,473
2023-11-01,177
2023-11-02,88
2023-11-03,387
2023-11-04,409
2023-11-05,178
2023-11-06,316
2023-11-07,490
2023-11-08,483
2023-11-09,200
2023-11-10,464
2023-11-11,347
2023-11-12,148
2023-11-13,312
2023-11-14,301
2023-11-15,193
2023-11-16,395
2023-11-17,161
2023-11-18,109
2023-11-19,418
2023-11-20,51
2023-11-21,434
2023-11-22,353
2023-11-23,303
2023-11-24,189
2023-11-25,86
2023-11-26,209
2023-11-27,58
2023-11-28,282
2023-11-29,148
2023-11-30,196
2023-12-01,353
2023-12-02,257
2023-12-03,180
2023-12-04,453
2023-12-05,201
2023-12-06,103
2023-12-07,169
2023-12-08,210
2023-12-09,457
2023-12-10,165
2023-12-11,124
2023-12-12,162
2023-12-13,469
2023-12-14,471
2023-12-15,153
2023-12-16,389
2023-12-17,303
2023-12-18,276
2023-12-19,161
2023-12-20,148
2023-12-21,202
2023-12-22,398
2023-12-23,451
2023-12-24,433
2023-12-25,415
2023-12-26,387
2023-12-27,243
2023-12-28,359
2023-12-29,212
2023-12-30,257
2023-12-31,494
